MAS	Title	Requirement Description	Tools Used (for both manual and automated validations)
1	Platform-provided Accessibility User Settings	"The platform (OS) must provide the user with accessibility settings such as: High contrast, alternative alerts, system level volume, customized input, increased text sizes, custom fonts, custom focus appearances, and navigation alternatives."	
			
2	Accessible Content Creation	"Authoring and development tools must provide UI that supports creating accessible applications, services, tools, and content. The UI must be consistent with UI for similar authoring and development tasks and be integrated into the workflow to promote accessible practices. Also, document how to use the authoring or development tool."	
3	Preservation of accessibility information in transformations	A content generating product must be able to preserve the platform-level accessibility settings without impacting the output of the product	
4	Authoring and Development tool text search	An authoring/development tool must provide text search capabilities for design and code surfaces	
5	Focus Order	"Support a focus order that is aligned with the meaning or operation of the UI. If the navigation sequence is independent of meaning or operation, then align the focus order with the flow of the visual design"	"Manual - Keyboard
Automated Tool - KEROS"
			
			
5A	Focus Visible	"Provide a visual focus indicator to ensure users can orient themselves and track their navigation through a task, scenario, or content. Support a focus order that is aligned with the meaning or operation of the user interface (UI). If the navigation sequence is independent of meaning or operation, then align the focus order with the flow of the visual design."	"Manual - Keyboard
Automated Tool - KEROS"
			
			
6	On Focus	Do not use changes in focus to trigger changes in context or to activate functionality on platforms that support focus	Manual - Keyboard
			
			
7	No Keyboard Trap	Ensure that users can move focus out of a control by using a method consistent with the method used to move focus into the control	"Manual\Screen Readers - Keyboard\JAWS\HTML(F12)
Automated Tool - KEROS"
			
			
8	Three Flashes or Below Threshold	"Do not create hardware, content, products, services, or tools that are likely to cause seizures due to UI or content that flashes at a rate greater than 3 times per second."	Manual\PEAT
			
			
9	"Pause, Stop, Hide"	"When UI or content moves, blinks, or scrolls for more than 5 seconds, provide a way for users to pause or stop the animation"	"Manual - Keyboard
Automated tool - aXe"
			
			
10	Timing Adjustable	"For any feature that requires users to complete an action within a set period of time, provide a way for users to disable or adjust the time limit (for example, by increasing the time limit by a minimum of 10 times the default limit). Exceptions include activities where time limits are essential for security or real-time activities, such as game play or a live auction ."	"Manual - Keyboard
Automated tool - aXe"
			
			
12	Audio Controls	"When audio plays automatically (not initiated by the user) for more than 3 seconds, provide a way for users to pause or stop the audio, or to adjust the volume"	Manual - Keyboard
			
			
13	Resize Text	"Except for captions and images of text, text can be resized without assistive technology up to 200 Except for percent without loss of content or functionality"	"Manual - Zooming, Magnifier
Automated tool - aXe"
			
			
